ANO_ESCOLAR,CODIGO_ESCUELA,region,municipio,escuela,escuela_receptora,nivel,consolidada,matricula,matricula_2016-17,cambio_matricula,promedio_espanol,promedio_matematica,promedio_ingles,promedio_ciencias
2017-18,12088,ARECIBO,MANATI,Fernando Callejo,0.00,superior,0.00,607.00,518.00,0.17,27.60,1.90,23.50,29.80
2017-18,10702,ARECIBO,BARCELONETA,Fernando Suria Chavez,0.00,superior,0.00,619.00,686.00,-0.10,28.40,2.30,35.80,42.40
2017-18,12062,ARECIBO,MANATI,Francisco Menendez Balbañe,0.00,elemental,0.00,135.00,134.00,0.01,27.30,36.40,39.40,57.90
2017-18,14787,ARECIBO,ARECIBO,Francisco Pachin Marin,0.00,elemental,0.00,345.00,421.00,-0.18,81.20,77.30,82.50,98.00
2017-18,11593,ARECIBO,LARES,Gabriela Mistral,0.00,interlocking,0.00,169.00,204.00,-0.17,41.00,27.90,49.20,80.00
2017-18,12005,ARECIBO,LARES,George Washington,0.00,elemental,0.00,177.00,166.00,0.07,80.70,86.70,83.10,100.00
2017-18,11239,ARECIBO,CIALES,Hato Viejo Cumbre,0.00,elemental,0.00,119.00,134.00,-0.11,47.00,51.50,25.80,100.00
2017-18,18226,ARECIBO,LARES,Hector Hernandez Arana,0.00,elemental,0.00,396.00,325.00,0.22,79.60,91.30,84.20,95.70
2017-18,71753,ARECIBO,VEGA ALTA,Ignacio Miranda,0.00,elemental,0.00,329.00,282.00,0.17,91.80,94.60,95.20,63.50
2017-18,79038,ARECIBO,VEGA ALTA,Ileana de Gracia (Superior Nueva),0.00,superior,0.00,499.00,529.00,-0.06,26.80,2.20,30.10,38.20
2017-18,10744,ARECIBO,BARCELONETA,Imbery,0.00,elemental,0.00,290.00,271.00,0.07,70.70,83.60,70.20,75.70
2017-18,71076,ARECIBO,DORADO,Jacinto Lopez Martinez,0.00,elemental,0.00,315.00,393.00,-0.20,54.50,55.80,55.20,65.70
2017-18,17889,ARECIBO,CIALES,Jaime Coira Ortiz,0.00,interlocking,0.00,175.00,187.00,-0.06,60.40,51.40,71.20,81.00
2017-18,12096,ARECIBO,MANATI,Jesus T Piñero,0.00,intermedia,0.00,301.00,355.00,-0.15,23.20,1.70,25.20,28.60
2017-18,11478,ARECIBO,HATILLO,Joaquin Rodriguez Ruiz,0.00,elemental,1.00,187.00,253.00,-0.26,85.00,85.00,81.00,77.00
2017-18,10355,ARECIBO,ARECIBO,John W Harris,0.00,elemental,0.00,213.00,260.00,-0.18,68.50,67.30,62.30,91.70
2017-18,10728,ARECIBO,MANATI,Jose Cordero Rosario,0.00,elemental,1.00,204.00,206.00,-0.01,54.00,54.00,38.00,50.00
2017-18,71787,ARECIBO,VEGA ALTA,Jose D Rosado,0.00,elemental,1.00,230.00,199.00,0.16,62.00,53.00,38.00,58.00
2017-18,15768,ARECIBO,HATILLO,Jose Gautier Benitez,0.00,elemental,1.00,241.00,266.00,-0.09,88.00,97.00,85.00,92.00
2017-18,10348,ARECIBO,ARECIBO,Jose Gualberto Padilla,0.00,intermedia,1.00,152.00,173.00,-0.12,28.00,2.00,26.00,39.00
2017-18,71860,ARECIBO,VEGA BAJA,Jose Gualberto Padilla,0.00,elemental,1.00,242.00,221.00,0.10,41.00,41.00,15.00,50.00
2017-18,18267,ARECIBO,VEGA ALTA,Jose Pagan de Jesus,0.00,interlocking,0.00,484.00,446.00,0.09,35.00,21.80,37.00,32.30
2017-18,71092,ARECIBO,DORADO,Jose Santos Alegria,0.00,superior,0.00,882.00,742.00,0.19,28.60,1.80,34.50,30.90
2017-18,11940,ARECIBO,LARES,Josefina Linares,0.00,interlocking,0.00,388.00,334.00,0.16,39.60,18.70,23.10,52.20
2017-18,17319,ARECIBO,CIALES,Juan A Corretjer,0.00,superior,0.00,618.00,554.00,0.12,42.80,13.00,51.10,54.70
2017-18,14779,ARECIBO,MANATI,Juan A Sanchez Davila,0.00,elemental,0.00,204.00,253.00,-0.19,26.60,42.60,9.70,67.70
2017-18,12930,ARECIBO,QUEBRADILLAS,Juan Alejo Arizmendi,0.00,superior,0.00,383.00,382.00,0.00,38.30,5.00,35.00,39.00
2017-18,10827,ARECIBO,FLORIDA,Juan Ponce de Leon Li,0.00,superior,0.00,608.00,522.00,0.16,44.70,62.00,49.30,64.70
2017-18,75267,ARECIBO,VEGA BAJA,Juan Quirindongo Morell,0.00,superior,0.00,692.00,704.00,-0.02,46.70,7.40,46.30,45.00
2017-18,10710,ARECIBO,FLORIDA,Juanita Ramirez Gonzalez,0.00,elemental,0.00,448.00,429.00,0.04,28.60,43.10,26.90,33.80
2017-18,11908,ARECIBO,LARES,Julio Lebron Soto,0.00,elemental,0.00,235.00,255.00,-0.08,63.60,52.10,61.20,85.70
2017-18,10314,ARECIBO,ARECIBO,Julio Seijo,0.00,elemental,0.00,225.00,257.00,-0.12,58.60,54.80,47.00,66.70
2017-18,71779,ARECIBO,VEGA ALTA,Ladislao Martinez,0.00,superior,0.00,619.00,512.00,0.21,29.00,0.80,35.90,54.30
2017-18,10959,ARECIBO,CAMUY,Laurentino Estrella Colon,0.00,elemental,1.00,182.00,193.00,-0.06,46.00,55.00,65.00,65.00
2017-18,17764,ARECIBO,FLORIDA,Leonardo Valentin Tirado,0.00,intermedia,0.00,375.00,412.00,-0.09,43.30,12.20,38.30,39.10
2017-18,71804,ARECIBO,VEGA BAJA,Lino Padron Rivera,0.00,superior,0.00,814.00,680.00,0.20,38.30,19.10,36.10,62.80
2017-18,11528,ARECIBO,HATILLO,Lorenzo Coballes Gandia,0.00,superior,0.00,438.00,394.00,0.11,34.10,2.20,26.20,28.40
2017-18,17384,ARECIBO,CAMUY,Luis F Crespo,0.00,superior,0.00,782.00,613.00,0.28,45.20,34.00,65.40,56.60
2017-18,11756,ARECIBO,ARECIBO,Luis Felipe Rodriguez Garcia,0.00,interlocking,0.00,581.00,399.00,0.46,65.00,48.60,64.80,57.90
2017-18,11387,ARECIBO,HATILLO,Luis Melendez Rodriguez,0.00,interlocking,0.00,413.00,438.00,-0.06,41.10,31.80,40.70,52.10
2017-18,17111,ARECIBO,ARECIBO,Luis Muñoz Marin,0.00,interlocking,0.00,317.00,225.00,0.41,54.50,29.60,56.10,78.60
2017-18,11395,ARECIBO,HATILLO,Luis Muñoz Rivera,0.00,elemental,0.00,255.00,298.00,-0.14,68.00,61.60,46.40,100.00
2017-18,71118,ARECIBO,DORADO,Luis Muñoz Rivera,0.00,elemental,1.00,193.00,235.00,-0.18,46.00,45.00,29.00,29.00
2017-18,71134,ARECIBO,DORADO,Luisa M Valderrama,0.00,elemental,0.00,243.00,293.00,-0.17,42.30,60.80,51.50,39.10
2017-18,72082,ARECIBO,VEGA BAJA,Manuel Martinez Davila,0.00,interlocking,0.00,599.00,516.00,0.16,26.40,6.00,23.40,19.40
2017-18,71951,ARECIBO,VEGA BAJA,Manuel Negron Collazo I,0.00,elemental,1.00,177.00,175.00,0.01,84.00,64.00,69.00,88.00
2017-18,71977,ARECIBO,VEGA BAJA,Manuel Padilla Davila,0.00,elemental,1.00,170.00,126.00,0.35,47.00,53.00,50.00,68.00
2017-18,74450,ARECIBO,DORADO,Marcelino Canino Canino,0.00,intermedia,1.00,278.00,279.00,0.00,22.00,1.00,10.00,7.00
2017-18,18192,ARECIBO,ARECIBO,Maria Cadilla de Martinez,0.00,superior,0.00,561.00,511.00,0.10,27.10,2.30,38.60,50.40
2017-18,12039,ARECIBO,MANATI,Micaela Escudero,0.00,elemental,1.00,209.00,205.00,0.02,60.00,63.00,94.00,100.00
2017-18,17418,ARECIBO,MANATI,Nueva Juan S Marchand,0.00,intermedia,0.00,347.00,369.00,-0.06,23.80,19.30,25.10,16.80
2017-18,13912,ARECIBO,VEGA BAJA,Nueva Brigida Alvarez Rodriguez,0.00,interlocking,0.00,440.00,452.00,-0.03,93.10,69.60,91.70,99.00
2017-18,18184,ARECIBO,BARCELONETA,Nueva Intermedia,0.00,intermedia,0.00,535.00,458.00,0.17,32.30,2.40,31.90,39.00
2017-18,18291,ARECIBO,CIALES,Nueva Urbana de Ciales,0.00,interlocking,0.00,731.00,788.00,-0.07,27.80,15.20,20.00,28.60
2017-18,11080,ARECIBO,CAMUY,Pedro Amador,0.00,elemental,0.00,123.00,139.00,-0.12,63.50,75.00,63.50,60.90
2017-18,11270,ARECIBO,CIALES,Pesa Parcelas,0.00,elemental,1.00,117.00,137.00,-0.15,92.00,92.00,69.00,94.00
2017-18,17350,ARECIBO,MANATI,Petra Corretjer de O'Neill,0.00,superior,0.00,559.00,604.00,-0.07,43.50,31.60,54.90,60.90
2017-18,71746,ARECIBO,VEGA ALTA,Rafael Hernandez,0.00,elemental,0.00,249.00,239.00,0.04,64.00,73.00,58.60,56.30
2017-18,72058,ARECIBO,VEGA BAJA,Rafael Hernandez,0.00,elemental,0.00,301.00,304.00,-0.01,47.80,65.00,46.20,63.60
2017-18,10967,ARECIBO,CAMUY,Ralph W Emerson,0.00,elemental,0.00,389.00,447.00,-0.13,86.00,80.00,75.70,82.80
2017-18,12880,ARECIBO,QUEBRADILLAS,Ramon Avila Molinari,0.00,elemental,1.00,187.00,128.00,0.46,66.00,78.00,56.00,70.00
2017-18,15917,ARECIBO,LARES,Ramon de Jesus Sierra,0.00,intermedia,0.00,571.00,462.00,0.24,45.10,13.30,37.80,44.10
2017-18,12799,ARECIBO,QUEBRADILLAS,Ramon Emeterio Betances,0.00,elemental,0.00,268.00,279.00,-0.04,65.00,72.00,66.00,57.70
2017-18,71084,ARECIBO,DORADO,Ricardo Arroyo Laracuente,0.00,intermedia,0.00,259.00,354.00,-0.27,25.20,2.00,19.60,14.70
2017-18,17459,ARECIBO,FLORIDA,Ricardo Rodriguez Torres,0.00,elemental,0.00,257.00,290.00,-0.11,70.20,56.10,49.10,38.70
2017-18,11460,ARECIBO,HATILLO,Rosa E Molinari,0.00,elemental,1.00,151.00,173.00,-0.13,68.00,68.00,55.00,100.00
2017-18,72033,ARECIBO,VEGA BAJA,Rosa M Rodriguez,0.00,elemental,1.00,146.00,174.00,-0.16,56.00,50.00,52.00,74.00
2017-18,71878,ARECIBO,VEGA BAJA,San Vicente,0.00,elemental,0.00,287.00,308.00,-0.07,45.00,42.70,24.60,56.90
2017-18,72090,ARECIBO,VEGA BAJA,SU Almirante Norte,0.00,interlocking,0.00,514.00,385.00,0.34,42.70,26.00,31.10,31.40
2017-18,11932,ARECIBO,LARES,SU Angelica Delgado,0.00,interlocking,0.00,472.00,413.00,0.14,50.40,42.50,59.60,60.20
2017-18,17749,ARECIBO,ARECIBO,SU Barrio Sabana Hoyos (Nueva),0.00,interlocking,0.00,529.00,706.00,-0.25,44.30,23.80,32.30,46.00
2017-18,10322,ARECIBO,ARECIBO,SU Enrique de Jesus Borras,0.00,interlocking,0.00,246.00,274.00,-0.10,48.00,41.40,23.00,55.20
2017-18,10546,ARECIBO,ARECIBO,SU Federico Degetau,0.00,interlocking,0.00,630.00,542.00,0.16,40.10,13.90,31.30,38.10
2017-18,76349,ARECIBO,VEGA ALTA,SU Francisco Felicie Martinez,0.00,interlocking,0.00,614.00,624.00,-0.02,60.10,39.60,51.00,51.40
2017-18,11320,ARECIBO,CIALES,SU Francisco Serrano,0.00,interlocking,0.00,286.00,260.00,0.10,49.70,30.20,32.00,58.90
2017-18,12914,ARECIBO,QUEBRADILLAS,SU Honorario Hernandez,0.00,interlocking,0.00,398.00,369.00,0.08,35.50,21.10,30.20,38.90
2017-18,10892,ARECIBO,CAMUY,SU Joaquin Vazquez Cruz,0.00,interlocking,0.00,310.00,334.00,-0.07,62.00,47.00,44.00,58.00
2017-18,12922,ARECIBO,QUEBRADILLAS,SU Luis Muñoz Rivera,0.00,interlocking,0.00,735.00,711.00,0.03,49.00,30.00,51.70,65.80
2017-18,10512,ARECIBO,ARECIBO,SU Manuel Ruiz Gandia,0.00,interlocking,0.00,492.00,503.00,-0.02,41.20,21.20,33.00,37.80
2017-18,11494,ARECIBO,HATILLO,SU Rafael Zamot Cruz,0.00,interlocking,0.00,281.00,296.00,-0.05,66.70,56.60,69.10,87.70
2017-18,10058,ARECIBO,ARECIBO,SU Ramon E Betances,0.00,interlocking,1.00,273.00,334.00,-0.18,50.00,38.00,49.00,55.00
2017-18,11031,ARECIBO,CAMUY,SU Santiago R Palmer,0.00,interlocking,0.00,353.00,348.00,0.01,70.90,76.90,73.00,82.90
2017-18,11312,ARECIBO,CIALES,SU Toribio Rivera,0.00,interlocking,0.00,164.00,173.00,-0.05,35.50,25.20,24.30,47.50
2017-18,17368,ARECIBO,QUEBRADILLAS,SUP Manuel Ramos Hernandez,0.00,superior,0.00,664.00,714.00,-0.07,45.60,28.70,53.10,51.20
2017-18,17327,ARECIBO,CAMUY,Superior Miguel F Santiago Echgaray,0.00,superior,0.00,305.00,313.00,-0.03,47.10,1.40,40.00,58.60
2017-18,17558,ARECIBO,ARECIBO,Superior Vocacional,0.00,superior,0.00,1270.00,1242.00,0.02,49.00,11.20,62.90,65.70
2017-18,12229,ARECIBO,MANATI,Teodomiro Taboas,0.00,elemental,0.00,195.00,254.00,-0.23,57.50,67.50,74.10,86.40
2017-18,71126,ARECIBO,DORADO,Teresa Prestamo,0.00,interlocking,1.00,205.00,91.00,1.25,30.00,10.00,23.00,47.00
2017-18,11502,ARECIBO,HATILLO,Timoteo Delgado,0.00,intermedia,0.00,505.00,471.00,0.07,44.60,18.80,43.40,70.80
2017-18,14241,ARECIBO,ARECIBO,Trina Padilla de Sanz,0.00,interlocking,0.00,469.00,461.00,0.02,32.00,5.10,25.30,46.90
2017-18,18234,ARECIBO,BARCELONETA,Vicente Acevedo Ballester,0.00,elemental,0.00,330.00,331.00,0.00,63.20,68.10,64.30,71.80
2017-18,10611,ARECIBO,ARECIBO,Victor Rojas I,0.00,especializada,0.00,71.00,53.00,0.34,9.10,0.00,45.50,63.60
2017-18,10629,ARECIBO,ARECIBO,Victor Rojas II,0.00,elemental,1.00,216.00,240.00,-0.10,86.00,86.00,94.00,100.00
2017-18,74864,BAYAMON,TOA ALTA,Abelardo Diaz Alfaro,0.00,intermedia,0.00,549.00,498.00,0.10,39.50,38.50,48.60,35.10
2017-18,70862,BAYAMON,COROZAL,Abraham Lincoln,0.00,elemental,1.00,341.00,385.00,-0.11,49.00,58.00,37.00,52.00
2017-18,78931,BAYAMON,TOA ALTA,Adela Rolon Fuentes,0.00,superior,0.00,518.00,703.00,-0.26,31.70,1.00,36.80,42.40
2017-18,71514,BAYAMON,TOA BAJA,Adolfina Irizarry de Puig,0.00,superior,0.00,574.00,628.00,-0.09,31.40,11.00,22.20,36.20
2017-18,14340,BAYAMON,OROCOVIS,Alberto Melendez,0.00,superior,0.00,415.00,511.00,-0.19,31.70,7.70,31.10,51.50
2017-18,71449,BAYAMON,TOA ALTA,Alejandro Jr Cruz,0.00,elemental,0.00,119.00,93.00,0.28,57.50,62.50,36.80,66.70
2017-18,71530,BAYAMON,TOA BAJA,Altinencia Valle,0.00,interlocking,0.00,625.00,585.00,0.07,40.70,28.20,31.90,61.40
2017-18,71621,BAYAMON,TOA BAJA,Amalia Lopez de Vila,0.00,elemental,1.00,149.00,165.00,-0.10,54.00,45.00,31.00,41.00
2017-18,70672,BAYAMON,BAYAMON,Andres C Gonzalez,0.00,interlocking,0.00,253.00,222.00,0.14,28.40,18.30,11.30,36.50
2017-18,17186,BAYAMON,MOROVIS,Angel G Quintero,0.00,intermedia,0.00,350.00,407.00,-0.14,48.10,36.50,59.90,77.90
2017-18,70466,BAYAMON,BAYAMON,Angel Millan Huertas,0.00,elemental,1.00,200.00,112.00,0.79,67.00,62.00,33.00,57.00
2017-18,12740,BAYAMON,OROCOVIS,Angel Rafael Diaz Colon,0.00,interlocking,0.00,194.00,183.00,0.06,83.50,70.60,79.80,95.20
2017-18,71589,BAYAMON,TOA BAJA,Antonia Saez Irizarry,0.00,elemental,1.00,177.00,301.00,-0.41,65.00,73.00,60.00,97.00
2017-18,70193,BAYAMON,BAYAMON,Aurelio Perez Martinez,0.00,elemental,1.00,171.00,136.00,0.26,28.00,53.00,26.00,50.00
2017-18,12435,BAYAMON,MOROVIS,Barahona (Elemental),0.00,elemental,0.00,232.00,260.00,-0.11,42.60,45.70,28.30,44.40
2017-18,71654,BAYAMON,TOA BAJA,Basilio Milan Hernandez,0.00,intermedia,0.00,651.00,735.00,-0.11,39.90,2.80,37.30,28.90
2017-18,71290,BAYAMON,NARANJITO,Bernarda Robles de Hevia,0.00,elemental,0.00,139.00,159.00,-0.13,27.30,58.20,16.40,40.90
2017-18,70409,BAYAMON,BAYAMON,Bernardo Huyke,0.00,elemental,0.00,340.00,230.00,0.48,42.40,46.60,29.10,39.50
2017-18,70128,BAYAMON,BAYAMON,Braulio Dueño Colon,0.00,elemental,1.00,205.00,164.00,0.25,31.00,29.00,10.00,52.00
2017-18,70078,BAYAMON,BAYAMON,Cacique Agüeybana,0.00,interlocking,0.00,556.00,557.00,0.00,41.20,1.40,40.60,32.60
2017-18,14555,BAYAMON,MOROVIS,Carlos Alverio Pimentel,0.00,elemental,1.00,126.00,111.00,0.14,90.00,94.00,83.00,100.00
2017-18,70433,BAYAMON,BAYAMON,Carlos Orama Padilla,0.00,elemental,0.00,302.00,260.00,0.16,27.30,52.10,32.20,35.50
2017-18,71662,BAYAMON,TOA BAJA,Carmen Barroso Morales,0.00,elemental,0.00,227.00,227.00,0.00,95.70,99.10,61.90,90.60
2017-18,70540,BAYAMON,BAYAMON,Carmen Gomez Tejera,0.00,elemental,0.00,377.00,319.00,0.18,36.70,43.50,29.50,37.00
2017-18,74237,BAYAMON,NARANJITO,Coleen Vazquez Urrutia,0.00,interlocking,0.00,367.00,343.00,0.07,23.80,16.20,12.30,23.50
2017-18,70425,BAYAMON,BAYAMON,Cristobal Colon,0.00,elemental,0.00,246.00,207.00,0.19,32.50,46.50,21.90,53.10
2017-18,12567,BAYAMON,OROCOVIS,Damian Abajo,0.00,elemental,1.00,84.00,81.00,0.04,100.00,100.00,100.00,100.00
2017-18,71639,BAYAMON,TOA BAJA,Delia Davila de Caban,0.00,elemental,0.00,247.00,231.00,0.07,48.30,50.00,20.00,51.30
2017-18,70235,BAYAMON,BAYAMON,Dolores Alvarez,0.00,elemental,1.00,256.00,225.00,0.14,58.00,65.00,48.00,52.00
2017-18,71282,BAYAMON,NARANJITO,Don Manolo Rivera,0.00,elemental,1.00,176.00,166.00,0.06,28.00,43.00,31.00,44.00
2017-18,71647,BAYAMON,TOA BAJA,Dr. Efrain Sanchez Hidalgo,0.00,elemental,0.00,315.00,295.00,0.07,43.90,47.60,35.30,69.60
2017-18,70136,BAYAMON,BAYAMON,Dr. Hiram Gonzalez,0.00,elemental,0.00,342.00,302.00,0.13,31.50,36.00,36.20,60.00
2017-18,70565,BAYAMON,BAYAMON,Dr. Jose Padin,0.00,especializada,0.00,90.00,93.00,-0.03,33.30,66.70,16.70,0.00
2017-18,71043,BAYAMON,COROZAL,Dr. Jose Padin,0.00,interlocking,0.00,399.00,296.00,0.35,33.30,20.80,15.10,46.30
2017-18,71670,BAYAMON,TOA BAJA,Dr. Pedro Albizu Campos,0.00,superior,0.00,703.00,797.00,-0.12,48.30,0.00,48.60,37.40
2017-18,70037,BAYAMON,BAYAMON,Dr. Santos J Sepulveda,0.00,elemental,1.00,227.00,130.00,0.75,87.00,83.00,83.00,75.00
2017-18,70516,BAYAMON,BAYAMON,Dr. Agustin Stahl,0.00,superior,0.00,574.00,659.00,-0.13,28.70,0.00,39.30,39.60
2017-18,70490,BAYAMON,BAYAMON,Dr.Jose Antonio Davila,0.00,intermedia,0.00,455.00,521.00,-0.13,22.80,1.30,23.50,13.40
2017-18,12369,BAYAMON,MOROVIS,Elemental Urbana,0.00,elemental,0.00,362.00,352.00,0.03,37.70,29.20,15.60,23.60
2017-18,70888,BAYAMON,COROZAL,Emilio R Delgado,0.00,superior,0.00,912.00,1014.00,-0.10,22.40,0.00,15.50,24.10
2017-18,70144,BAYAMON,BAYAMON,Epifanio Fernandez Vanga,0.00,elemental,0.00,196.00,162.00,0.21,55.80,53.50,26.70,53.60
2017-18,71571,BAYAMON,TOA BAJA,Ernestina Bracero,0.00,elemental,0.00,244.00,235.00,0.04,58.80,42.90,30.30,20.00
2017-18,71563,BAYAMON,TOA BAJA,Ernesto Juan Fonfrias,0.00,elemental,1.00,122.00,111.00,0.10,72.00,68.00,47.00,79.00
2017-18,12260,BAYAMON,MOROVIS,Esperanza Gonzalez,0.00,elemental,0.00,194.00,198.00,-0.02,78.20,81.60,39.10,96.70
2017-18,70599,BAYAMON,BAYAMON,Faustino Santiago,0.00,elemental,0.00,150.00,228.00,-0.34,27.00,28.40,14.90,23.10
2017-18,71324,BAYAMON,NARANJITO,Felipa Sanchez Cruzado,0.00,elemental,1.00,126.00,144.00,-0.13,15.00,28.00,2.00,70.00
2017-18,70904,BAYAMON,COROZAL,Fidel Lopez Colon,0.00,elemental,0.00,489.00,510.00,-0.04,36.90,39.90,23.20,43.60
2017-18,71704,BAYAMON,TOA BAJA,Francisca Davila Semprit,0.00,interlocking,0.00,398.00,396.00,0.01,16.60,13.10,12.40,20.70
2017-18,78733,BAYAMON,BAYAMON,Francisco Gaztambide Vega,0.00,superior,0.00,496.00,497.00,0.00,44.70,0.90,33.30,46.00
2017-18,78956,BAYAMON,NARANJITO,Francisco Lopez Cruz,0.00,elemental,0.00,353.00,349.00,0.01,31.00,37.40,20.60,45.70
2017-18,70284,BAYAMON,BAYAMON,Franciso Manrique Cabrera,0.00,superior,0.00,522.00,606.00,-0.14,46.90,7.10,33.90,52.30
2017-18,71225,BAYAMON,NARANJITO,Francisco Morales,0.00,superior,0.00,563.00,616.00,-0.09,42.80,0.00,27.50,35.80
